time,open,high,low,close,Volume
1982-10-19,1.9947,1.9947,1.9947,1.9947,0
1982-10-20,1.9947,1.9947,1.9947,1.9947,0
1982-10-21,2.0046,2.0046,2.0046,2.0046,0
1982-10-22,2.0046,2.0046,2.0046,2.0046,0
1982-10-25,2.0046,2.0046,2.0046,2.0046,0
1982-10-26,2.0046,2.0046,2.0046,2.0046,0
1982-10-27,2.0046,2.0046,2.0046,2.0046,0
1982-10-28,2.0046,2.0046,2.0046,2.0046,0
1982-10-29,2.0046,2.0046,2.0046,2.0046,0
1982-11-01,2.0046,2.0046,2.0046,2.0046,0
1982-11-03,2.0046,2.0046,2.0046,2.0046,0
1982-11-04,2.0046,2.0046,2.0046,2.0046,0
1982-11-05,2.0046,2.0046,2.0046,2.0046,0
1982-11-08,2.0046,2.0046,2.0046,2.0046,0
1982-11-09,2.0046,2.0046,2.0046,2.0046,0
1982-11-10,2.0046,2.0046,2.0046,2.0046,0
1982-11-12,2.0046,2.0046,2.0046,2.0046,0
1982-11-15,2.0046,2.0046,2.0046,2.0046,0
1982-11-16,2.0046,2.0046,2.0046,2.0046,0
1982-11-17,2.0046,2.0046,2.0046,2.0046,0
1982-11-18,2.0046,2.0046,2.0046,2.0046,0
1982-11-19,2.0046,2.0046,2.0046,2.0046,0
1982-11-22,1.9906,1.9906,1.9906,1.9906,0
1982-11-23,1.9906,1.9906,1.9906,1.9906,0
1982-11-24,1.9906,1.9906,1.9906,1.9906,0
1982-11-26,1.9906,1.9906,1.9906,1.9906,0
1982-11-29,1.9906,1.9906,1.9906,1.9906,0
1982-11-30,1.9906,1.9906,1.9906,1.9906,0
1982-12-01,1.9687,1.9687,1.9687,1.9687,0
1982-12-02,1.9687,1.9687,1.9687,1.9687,0
1982-12-03,1.9569,1.9569,1.9569,1.9569,0
1982-12-06,1.9569,1.9569,1.9569,1.9569,0
1982-12-07,1.9412,1.9412,1.9412,1.9412,0
1982-12-08,1.9412,1.9412,1.9412,1.9412,0
1982-12-09,1.9412,1.9412,1.9412,1.9412,0
1982-12-10,1.951,1.951,1.951,1.951,0
